CSDE1	CSDE1
SIKE1	SIKE1
VANGL1	VANGL1
ATP1A1	ATP1A1
CD58	CD58
PTGFRN	PTGFRN
TTF2	TTF2
MAN1A2	MAN1A2
GDAP2	GDAP2
WDR3	WDR3
WARS2	WARS2
PHGDH	PHGDH
NOTCH2	NOTCH2
SEC22B	SEC22B
LINC00623	LINC00623
SRGAP2C	SRGAP2C
AC239800.3	AC239800.3
FAM72C	FAM72C
AC245595.1	AC245595.1
NBPF15	NBPF15
SRGAP2B	SRGAP2B
FAM72D	FAM72D
NBPF20	NBPF20
GPR89A	GPR89A
PDZK1	PDZK1
RNF115	RNF115
POLR3C	POLR3C
NUDT17	NUDT17
PIAS3	PIAS3
PEX11B	PEX11B
LIX1L	LIX1L
ANKRD34A	ANKRD34A
POLR3GL	POLR3GL
TXNIP	TXNIP
NOTCH2NL	NOTCH2NL
NBPF12	NBPF12
PRKAB2	PRKAB2
CHD1L	CHD1L
BCL9	BCL9
ACP6	ACP6
GPR89B	GPR89B
NBPF11	NBPF11
NBPF14	NBPF14
PDE4DIP	PDE4DIP
NBPF9	NBPF9
AC245297.3	AC245297.3
NBPF19	NBPF19
AC239868.3	AC239868.3
HIST2H2BE	HIST2H2BE
HIST2H2AC	HIST2H2AC
BOLA1	BOLA1
SF3B4	SF3B4
MTMR11	MTMR11
OTUD7B	OTUD7B
VPS45	VPS45
PLEKHO1	PLEKHO1
ANP32E	ANP32E
CA14	CA14
APH1A	APH1A
C1orf54	C1orf54
CIART	CIART
PRPF3	PRPF3
RPRD2	RPRD2
TARS2	TARS2
FALEC	FALEC
ADAMTSL4	ADAMTSL4
MCL1	MCL1
ENSA	ENSA
GOLPH3L	GOLPH3L
ARNT	ARNT
SETDB1	SETDB1
CERS2	CERS2
PRUNE1	PRUNE1
C1orf56	C1orf56
CDC42SE1	CDC42SE1
MLLT11	MLLT11
GABPB2	GABPB2
SCNM1	SCNM1
LYSMD1	LYSMD1
VPS72	VPS72
PIP5K1A	PIP5K1A
PSMD4	PSMD4
AL391069.2	AL391069.2
ZNF687	ZNF687
PI4KB	PI4KB
RFX5	RFX5
AL391069.3	AL391069.3
PSMB4	PSMB4
POGZ	POGZ
TUFT1	TUFT1
SNX27	SNX27
MRPL9	MRPL9
OAZ3	OAZ3
TDRKH	TDRKH
S100A11	S100A11
S100A4	S100A4
S100A3	S100A3
S100A2	S100A2
S100A16	S100A16
S100A13	S100A13
S100A1	S100A1
CHTOP	CHTOP
SNAPIN	SNAPIN
ILF2	ILF2
INTS3	INTS3
GATAD2B	GATAD2B
DENND4B	DENND4B
CRTC2	CRTC2
SLC39A1	SLC39A1
AL358472.4	AL358472.4
CREB3L4	CREB3L4
JTB	JTB
AL358472.2	AL358472.2
RAB13	RAB13
TPM3	TPM3
C1orf43	C1orf43
UBAP2L	UBAP2L
HAX1	HAX1
